Метка,Семантический класс,"Цвет, [r, g, b]",Категория объектов
87,streetlight;street;lamp (уличный фонарь),"[0, 71, 255]",Статический фоновый
88,booth;cubicle;stall;kiosk (будка; кабина; киоск),"[255, 0, 204]",Статический фоновый
89,television (телевизор),"[0, 255, 194]",Статический фоновый
90,airplane;aeroplane;plane (самолет),"[0, 255, 82]",Динамический
91,dirt;track (грунтовая дорога),"[0, 10, 255]",Статический фоновый
92,apparel;wearing;apparel;dress;clothes (одежда),"[0, 112, 255]",Динамический
93,pole (столб),"[51, 0, 255]",Статический фоновый
94,"land;ground;soil (земля, почва)","[0, 194, 255]",Статический фоновый
95,bannister;banister;balustrade;balusters;handrail (перила),"[0, 122, 255]",Статический фоновый
96,escalator;moving;staircase;moving;stairway (эскалатор),"[0, 255, 163]",Статический фоновый
97,ottoman;pouf;pouffe;puff;hassock (тахта;пуф),"[255, 153, 0]",Статический фоновый
98,bottle (бутылка),"[0, 255, 10]",Динамический
99,buffet;counter;sideboard (буфет;сервант),"[255, 112, 0]",Статический фоновый
100,poster;posting;placard;notice;bill;card (плакат),"[143, 255, 0]","Особый (ключевой), Надпись"
101,stage (сцена),"[82, 0, 255]",Статический фоновый
102,van (фургон),"[163, 255, 0]",Динамический
103,ship (корабль),"[255, 235, 0]",Динамический
104,fountain (фонтан),"[8, 184, 170]",Статический фоновый
105,"conveyor belt;transporter (конвейер, транспортер)","[133, 0, 255]",Статический фоновый
106,canopy (навес),"[0, 255, 92]",Статический фоновый
107,washer;;washing machine (стиральная машина),"[184, 0, 255]",Особый (ключевой)
108,plaything;toy (игрушка),"[255, 0, 31]",Динамический
109,swimming pool (плавательный бассейн),"[0, 184, 255]",Статический фоновый
110,stool (табуретка),"[0, 214, 255]",Динамический
111,barrel;cask (бочка),"[255, 0, 112]",Динамический
112,basket;handbasket (ручная корзина),"[92, 255, 0]",Динамический
113,waterfall;falls (водопад),"[0, 224, 255]",Особый (ключевой)
114,tent;collapsible;shelter (палатка),"[112, 224, 255]",Статический фоновый
115,bag (сумка),"[70, 184, 160]",Динамический
116,minibike;motorbike (мотоцикл),"[163, 0, 255]",Динамический
117,cradle (колыбель),"[153, 0, 255]",Статический фоновый
118,oven (печь),"[71, 255, 0]",Статический фоновый
119,ball (мяч),"[255, 0, 163]",Динамический
120,food;solid;food (пища),"[255, 204, 0]",Динамический
121,step;stair (ступенька),"[255, 0, 143]",Статический фоновый
122,tank;storage tank (бак),"[0, 255, 235]",Статический фоновый
123,trade name;brand name (торговое название;марка),"[133, 255, 0]","Особый (ключевой), Надпись"
124,microwave;microwave;oven (микроволновка),"[255, 0, 235]",Статический фоновый
125,pot;flowerpot (цветочный горшок),"[245, 0, 255]",Динамический
126,animal;animate;being;beast;brute;creature;fauna (животное),"[255, 0, 122]",Динамический
127,bicycle;bike;wheel;cycle (велосипед),"[255, 245, 0]",Динамический
128,lake (озеро),"[10, 190, 212]",Статический фоновый
129,dishwasher (посудомоечная машина),"[214, 255, 0]",Статический фоновый
130,screen;silver;screen;projection;screen (проекционный экран),"[0, 204, 255]",Статический фоновый
131,blanket;cover (одеяло),"[20, 0, 255]",Динамический
132,sculpture (скульптура),"[255, 255, 0]",Статический фоновый
133,hood;exhaust hood (вытяжка),"[0, 153, 255]",Статический фоновый
134,sconce (бра),"[0, 41, 255]",Статический фоновый
135,vase (ваза),"[0, 255, 204]",Динамический
136,traffic;light;traffic;signal;stoplight (светофор),"[41, 0, 255]",Особый (ключевой)
137,tray (поднос),"[41, 255, 0]",Динамический
138,"trash can, bin (мусорное ведро)","[173, 0, 255]",Динамический
139,fan (вентилятор),"[0, 245, 255]",Динамический
140,pier;wharf;wharfage;dock (причал),"[71, 0, 255]",Статический фоновый
141,crt;screen (электро-лучевая трубка),"[122, 0, 255]",Динамический
142,plate (тарелка),"[0, 255, 184]",Динамический
143,monitor;monitoring;device (монитор),"[0, 92, 255]",Динамический
144,bulletin;board;notice;board (доска уведомлений),"[184, 255, 0]","Особый (ключевой), Надпись"
145,shower (душ),"[0, 133, 255]",Статический фоновый
146,radiator (радиатор),"[255, 214, 0]",Статический фоновый
147,glass;drinking;glass (стакан),"[25, 194, 194]",Динамический
148,clock (часы),"[102, 255, 0]",Динамический
149,flag (флаг),"[92, 0, 255]",Динамический
